20190626 15:58:49;nieuws;mwage;DELETE1 Het nieuwsbericht met id 14 is verwijderd uit tabel nieuws
20191113 21:17:58;index;mwage;Totaal aantal rijen uit de select-query: 10
20191113 21:30:29;uren;mwage;UPDWEEK 001 Op refresh gedrukt POST(week): 201914
20191114 19:58:54;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191114 19:58:54;index;;Totaal aantal rijen uit de select-query: 0
20191114 19:59:01;login;mwage;User mwage is succesvol ingelogd.
20191114 19:59:01;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191114 19:59:01;index;mwage;Totaal aantal rijen uit de select-query: 10
20191114 21:34:45;users;mwage;SAVEBUTTON - Wachtwoorden worden gecontroleerd
20191114 21:34:45;users;mwage;CHECKFIELDS - Overige velden worden gecontroleerd
20191114 21:34:45;users;mwage;CREATEQRY1 - Beginnen met het aanmaken van de UPDATE query om user demo2te updaten
20191114 21:34:45;users;mwage;UPDQUERY De UPDATE-query wordt nu uitgevoerd op de database voor userdemo2
20191114 21:35:53;nieuws;mwage;CANCEL User heeft op cancel gedrukt
20191119 10:59:45;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 10:59:45;index;;Totaal aantal rijen uit de select-query: 0
20191119 11:10:03;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:10:03;index;;Totaal aantal rijen uit de select-query: 0
20191119 11:28:24;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:28:24;index;;Totaal aantal rijen uit de select-query: 0
20191119 11:28:37;login;mwage;User mwage is succesvol ingelogd.
20191119 11:28:37;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:28:37;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 11:30:29;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:30:29;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 11:31:25;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:31:25;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 11:33:26;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:33:26;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 11:34:16;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:34:16;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 11:34:21;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:34:21;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 11:46:09;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:46:09;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 11:46:10;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:46:10;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 11:46:11;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:46:11;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 11:46:11;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:46:11;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 11:46:11;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:46:11;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 11:46:18;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 11:46:18;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 12:01:59;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 12:01:59;index;;Totaal aantal rijen uit de select-query: 0
20191119 12:02:16;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 12:02:16;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 12:02:32;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 12:02:32;index;mwage;Totaal aantal rijen uit de select-query: 10
20191119 12:02:48;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 12:02:48;index;;Totaal aantal rijen uit de select-query: 0
20191119 13:23:38;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 13:23:38;index;;Totaal aantal rijen uit de select-query: 0
20191119 13:25:23;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 13:25:23;index;;Totaal aantal rijen uit de select-query: 0
20191119 13:27:37;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191119 13:27:37;index;;Totaal aantal rijen uit de select-query: 0
20191122 16:11:07;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191122 16:11:07;index;;Totaal aantal rijen uit de select-query: 0
20191126 16:16:47;index;;Query: SELECT * FROM uren where user=\'..\' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 16:16:55;login;mwage;User mwage is succesvol ingelogd.
20191126 16:16:55;index;mwage;Query: SELECT * FROM uren where user=\'.mwage.\' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 16:17:50;index;mwage;Query: SELECT * FROM uren where user=\'mwage\' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 16:18:17;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 16:18:17;index;mwage;Totaal aantal rijen uit de select-query: 10
20191126 16:19:14;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 16:19:14;index;mwage;Totaal aantal rijen uit de select-query: 10
20191126 16:19:17;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 16:19:17;index;mwage;Totaal aantal rijen uit de select-query: 10
20191126 16:19:19;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 16:19:19;index;mwage;Totaal aantal rijen uit de select-query: 10
20191126 16:19:26;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 16:19:26;index;mwage;Totaal aantal rijen uit de select-query: 10
20191126 16:19:54;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 16:19:54;index;mwage;Totaal aantal rijen uit de select-query: 10
20191126 16:20:15;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 16:20:15;index;mwage;Totaal aantal rijen uit de select-query: 10
20191126 20:24:30;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 20:24:30;index;;Totaal aantal rijen uit de select-query: 0
20191126 20:24:35;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 20:24:35;index;;Totaal aantal rijen uit de select-query: 0
20191126 20:24:39;logout;;User is succesvol uitgelogd
20191126 20:24:59;login;mwage;User mwage is succesvol ingelogd.
20191126 20:24:59;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 20:24:59;index;mwage;Totaal aantal rijen uit de select-query: 10
20191126 20:26:17;nieuws;mwage;CANCEL User heeft op cancel gedrukt
20191126 20:26:21;logout;mwage;User is succesvol uitgelogd
20191126 20:26:27;login;mwage;WARN Er werd geprobeerd om in te loggen met een niet bestaande username: demo
20191126 20:26:36;login;mwage;User mwage is succesvol ingelogd.
20191126 20:26:36;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 20:26:36;index;mwage;Totaal aantal rijen uit de select-query: 10
20191126 20:27:17;users;mwage;SAVEBUTTON - Wachtwoorden worden gecontroleerd
20191126 20:27:17;users;mwage;CHECKFIELDS - Overige velden worden gecontroleerd
20191126 20:27:17;users;mwage;CREATEQRY1 - Beginnen met het aanmaken van de UPDATE query om user demo2te updaten
20191126 20:27:17;users;mwage;PASS_MD5 - Wachtwoord is middels md5 encrypted
20191126 20:27:17;users;mwage;UPDQUERY De UPDATE-query wordt nu uitgevoerd op de database voor userdemo2
20191126 20:27:27;logout;mwage;User is succesvol uitgelogd
20191126 20:28:00;login;demo2;User demo2 is succesvol ingelogd.
20191126 20:28:00;index;demo2;Query: SELECT * FROM uren where user='demo2' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 20:28:00;index;demo2;Totaal aantal rijen uit de select-query: 0
20191126 20:28:13;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 20:28:13;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 20:28:13;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 20:28:21;nieuws;demo2;CANCEL User heeft op cancel gedrukt
20191126 20:28:21;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 20:28:21;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 20:28:21;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 20:28:28;nieuws;demo2;CANCEL User heeft op cancel gedrukt
20191126 20:28:28;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 20:28:28;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 20:28:28;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 20:28:39;nieuws;demo2;CANCEL User heeft op cancel gedrukt
20191126 20:28:39;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 20:28:39;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 20:28:39;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 20:29:14;uren;demo2;UPDWEEK 001 Op refresh gedrukt POST(week): 201948
20191126 20:29:14;uren;demo2;BTNSAVE Controle of er al gegevens van jaar 2019 en week 48 zijn
20191126 20:29:14;uren;demo2;BTNSAVE Query: SELECT * FROM uren where user='demo2' AND week='48' AND jaar='2019'
20191126 20:29:14;uren;demo2;BTNSAVE Records worden toegevoegd van jaar 2019 en week 48 voor het updaten van de betreffende week
20191126 20:29:14;uren;demo2;BTNSAVE Query: INSERT INTO uren (jaar, week, dagnummer, soortuur, datum, uren, user)
                        values('2019', '48', '0', 'MIR000UU', '2019-11-25', '8', 'demo2')
20191126 20:29:14;uren;demo2;BTNSAVE Records worden toegevoegd van jaar 2019 en week 48 voor het updaten van de betreffende week
20191126 20:29:14;uren;demo2;BTNSAVE Query: INSERT INTO uren (jaar, week, dagnummer, soortuur, datum, uren, user)
                        values('2019', '48', '1', 'MIR000UU', '2019-11-26', '4', 'demo2')
20191126 20:29:14;uren;demo2;BTNSAVE Records worden toegevoegd van jaar 2019 en week 48 voor het updaten van de betreffende week
20191126 20:29:14;uren;demo2;BTNSAVE Query: INSERT INTO uren (jaar, week, dagnummer, soortuur, datum, uren, user)
                        values('2019', '48', '2', 'MIR000UU', '2019-11-27', '5', 'demo2')
20191126 20:29:14;uren;demo2;BTNSAVE Records worden toegevoegd van jaar 2019 en week 48 voor het updaten van de betreffende week
20191126 20:29:14;uren;demo2;BTNSAVE Query: INSERT INTO uren (jaar, week, dagnummer, soortuur, datum, uren, user)
                        values('2019', '48', '3', 'MIR000UU', '2019-11-28', '8', 'demo2')
20191126 20:29:14;uren;demo2;BTNSAVE Records worden toegevoegd van jaar 2019 en week 48 voor het updaten van de betreffende week
20191126 20:29:14;uren;demo2;BTNSAVE Query: INSERT INTO uren (jaar, week, dagnummer, soortuur, datum, uren, user)
                        values('2019', '48', '4', 'MIR000UU', '2019-11-29', '8', 'demo2')
20191126 20:29:14;uren;demo2;BTNSAVE Records worden toegevoegd van jaar 2019 en week 48 voor het updaten van de betreffende week
20191126 20:29:14;uren;demo2;BTNSAVE Query: INSERT INTO uren (jaar, week, dagnummer, soortuur, datum, uren, user)
                        values('2019', '48', '1', 'MIR010CU', '2019-11-26', '5', 'demo2')
20191126 20:29:14;uren;demo2;BTNSAVE Records worden toegevoegd van jaar 2019 en week 48 voor het updaten van de betreffende week
20191126 20:29:14;uren;demo2;BTNSAVE Query: INSERT INTO uren (jaar, week, dagnummer, soortuur, datum, uren, user)
                        values('2019', '48', '2', 'MIR010CU', '2019-11-27', '3', 'demo2')
20191126 20:30:36;index;demo2;Query: SELECT * FROM uren where user='demo2' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 20:30:36;index;demo2;Totaal aantal rijen uit de select-query: 1
20191126 21:08:03;index;demo2;Query: SELECT * FROM uren where user='demo2' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 21:08:03;index;demo2;Totaal aantal rijen uit de select-query: 1
20191126 21:08:06;index;demo2;Query: SELECT * FROM uren where user='demo2' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 21:08:06;index;demo2;Totaal aantal rijen uit de select-query: 1
20191126 21:08:12;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 21:08:12;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 21:08:12;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 21:08:14;index;demo2;Query: SELECT * FROM uren where user='demo2' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 21:08:14;index;demo2;Totaal aantal rijen uit de select-query: 1
20191126 21:42:42;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 21:42:42;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 21:42:42;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 21:42:44;index;demo2;Query: SELECT * FROM uren where user='demo2' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 21:42:44;index;demo2;Totaal aantal rijen uit de select-query: 1
20191126 21:43:05;index;demo2;Query: SELECT * FROM uren where user='demo2' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 21:43:05;index;demo2;Totaal aantal rijen uit de select-query: 1
20191126 21:43:08;index;demo2;Query: SELECT * FROM uren where user='demo2' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 21:43:08;index;demo2;Totaal aantal rijen uit de select-query: 1
20191126 21:43:10;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 21:43:10;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 21:43:10;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 21:43:11;index;demo2;Query: SELECT * FROM uren where user='demo2' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 21:43:11;index;demo2;Totaal aantal rijen uit de select-query: 1
20191126 21:43:14;index;demo2;Query: SELECT * FROM uren where user='demo2' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 21:43:14;index;demo2;Totaal aantal rijen uit de select-query: 1
20191126 21:44:00;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 21:44:00;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 21:44:00;nieuws;demo2;BUTTONS Geen admin-sessie dus alleen de button bril wordt getoond
20191126 21:44:01;index;demo2;Query: SELECT * FROM uren where user='demo2' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191126 21:44:01;index;demo2;Totaal aantal rijen uit de select-query: 1
20191127 18:29:04;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191127 18:29:04;index;;Totaal aantal rijen uit de select-query: 0
20191127 18:58:50;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191127 18:58:50;index;;Totaal aantal rijen uit de select-query: 0
20191128 11:08:36;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 11:08:36;index;;Totaal aantal rijen uit de select-query: 0
20191128 11:08:41;login;mwage;User mwage is succesvol ingelogd.
20191128 11:08:41;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 11:08:41;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 11:10:03;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 11:10:03;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 12:00:12;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 12:00:12;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 12:20:20;nieuws;mwage;CANCEL User heeft op cancel gedrukt
20191128 12:20:39;uren;mwage;UPDWEEK 001 Op refresh gedrukt POST(week): 201948
20191128 12:20:39;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 12:20:39;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 12:44:19;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 12:44:19;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 12:45:36;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 12:45:36;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 12:50:22;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 12:50:22;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 12:50:28;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 12:50:28;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 12:51:14;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 12:51:14;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 12:52:42;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 12:52:42;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 12:52:44;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 12:52:44;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 12:55:10;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 12:55:10;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 12:56:43;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 12:56:43;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 12:57:19;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 12:57:19;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 13:08:10;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191128 13:08:10;index;mwage;Totaal aantal rijen uit de select-query: 10
20191128 15:07:32;logout;mwage;User is succesvol uitgelogd
20191129 11:04:32;index;;Query: SELECT * FROM uren where user='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 11:04:32;index;;Totaal aantal rijen uit de select-query: 0
20191129 11:04:39;login;mwage;User mwage is succesvol ingelogd.
20191129 11:04:39;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 11:04:39;index;mwage;Totaal aantal rijen uit de select-query: 10
20191129 11:23:03;index;mwage;Query: SELECT * FROM uren where user='mwage' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 11:23:03;index;mwage;Totaal aantal rijen uit de select-query: 10
20191129 13:50:11;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:50:11;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:50:11;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:50:11;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:50:11;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:50:11;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:50:11;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:50:11;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:50:11;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:50:11;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:50:11;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:50:11;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:50:11;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:50:11;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:50:11;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:50:11;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:50:11;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:50:11;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:50:11;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:50:11;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:57:57;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:57:57;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:57:57;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:57:57;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:57:57;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:57:57;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:57:57;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:57:57;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:57:57;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:57:57;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:57:57;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:57:57;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:57:57;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:57:57;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:57:57;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:57:57;index;mwage;Totaal aantal rijen uit de select-query: 0
20191129 13:57:57;index;mwage;Query: SELECT * FROM uren where user='mwage' AND jaar='' AND week='' GROUP BY user, jaar, week ORDER BY jaar desc , week desc , datum desc LIMIT 10
20191129 13:57:57;index;mwage;Totaal aantal rijen uit de select-query: 0
